author_id,text,id,lang,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,location,name,url,created_at.y,description,verified,username
1012775363905236992,@PamJiles @ignaciowalker hace rato nos veníamos dando cuenta del nivel charcha de los analistas políticos en Chile pero que ud los saque a pasear nos encanta 🤣 GRANDE PAMELA JILES,1384700949013409793,es,2021-04-21T02:50:07.000Z,0,0,0,0,"",Peperere,"",2018-06-29T19:10:37.000Z,"",FALSE,Peperere3
1055179982174150656,"@ignaciowalker Que fácil es hablar desde las comodidades que entrega vivir del estado y ser hipócrita cristiano, que de Cristiano nada tienes parásito sinverguenza.......el pueblo logro el reintegro de su DINERO, Pamela Jiles solo ayudo a lograrlo mal nacido......💩😠💩😠💩😠💩",1384700141601427458,es,2021-04-21T02:46:54.000Z,1,0,2,1,"",JCM,"",2018-10-24T19:31:26.000Z,"",FALSE,ChMccallum
1106349167553712129,"@VictorM12778365 @Pipesebastian3 @Pablo_Maltes @PamJiles @Benjadgg @ignaciowalker @Muletjaime @KarimBianchi @elfrente_amplio Pablo Maltés, te quedó bueno el bot, viejo pajero zángano",1384704372773462017,es,2021-04-21T03:03:43.000Z,0,2,0,0,"33°26'12.9""S 70°38'04.0""W",Mr. T.o.d.d.,"",2019-03-15T00:19:31.000Z,RhD/NBA. Premio por logros destacados en el campo de la excelencia.,FALSE,ToddChaman
1106349167553712129,"@VictorM12778365 @Pipesebastian3 @Pablo_Maltes @PamJiles @Benjadgg @ignaciowalker @Muletjaime @KarimBianchi @elfrente_amplio Ahí está tu bot, viejo pajero. Gobernador quiere ser el charlatán 😂😂😂 @Pablo_Maltes https://t.co/ZOqIrvmnDn",1384705422146383873,es,2021-04-21T03:07:53.000Z,0,0,0,0,"33°26'12.9""S 70°38'04.0""W",Mr. T.o.d.d.,"",2019-03-15T00:19:31.000Z,RhD/NBA. Premio por logros destacados en el campo de la excelencia.,FALSE,ToddChaman
1106349167553712129,@Pipesebastian3 @VictorM12778365 @Pablo_Maltes @PamJiles @Benjadgg @ignaciowalker @Muletjaime @KarimBianchi @elfrente_amplio Primero debe revisar wikipedia. Así hace sus proyectos originales la populista Pamela Jiles,1384700761070833664,es,2021-04-21T02:49:22.000Z,0,1,0,0,"33°26'12.9""S 70°38'04.0""W",Mr. T.o.d.d.,"",2019-03-15T00:19:31.000Z,RhD/NBA. Premio por logros destacados en el campo de la excelencia.,FALSE,ToddChaman
112196262,@PamJiles @ignaciowalker Se dará cuenta @PamJiles que todo ese dinero finalmente solo llegará a los más ricos de este país? Tendrá idea esta señora cuánto han subido los precios de los materiales de construcción? Ferreterías y automotoras vacías! Y los pobres más pobres y sin pensiones!,1384707245208969221,es,2021-04-21T03:15:08.000Z,0,0,0,0,"Los Vilos, Chile",Felipe Illanes,https://t.co/JCzudzdhJe,2010-02-07T15:46:17.000Z,"Ing. Destructor... “Para llegar bien alto, hay que tocar fondo!!”",FALSE,felillanes
1144452953920569344,@sebastianflynn_ @PamJiles @ignaciowalker Y cuál es tu aporte imbecil,1384706244171214848,es,2021-04-21T03:11:09.000Z,0,0,1,0,"Metropolitana de Santiago, Chi",Jorge Parra,"",2019-06-28T03:50:21.000Z,feliz al dar un gran paso adelante por el país 25/10/2020,FALSE,JorgePa13940903
115809922,@PamJiles @javieralvarado8 @ignaciowalker Wena Pamela buen combo a este brea,1384703348947963908,es,2021-04-21T02:59:39.000Z,0,0,1,0,Chile,del 80% voto por independientes,"",2010-02-20T01:43:44.000Z,"mi nombre es Gabriel , contador auditor",FALSE,gajaro
1164919720241500160,@ignaciowalker Keep walking!!,1384700508062035973,en,2021-04-21T02:48:22.000Z,0,0,1,0,"Florida, USA",Chris Alday 🇨🇱,"",2019-08-23T15:18:12.000Z,Ing. Agrónomo U de Chile. Nieto de Nicolas Villalobos Alvarez y Sobrino de Nicolas Villalobos Zamorano. En sus memorias. #FlyEaglesFly🦅,FALSE,aldaychrist
118449572,@Dragnpequeo1 @ignaciowalker https://t.co/VqqhXkzr7G,1384714219409510400,und,2021-04-21T03:42:51.000Z,0,0,0,0,Santiago de Chile,Leticia García F. Asamblea Constituyente Soberana,https://t.co/OIZexrDgO1,2010-02-28T18:44:48.000Z,Humanista. Miembro del Centro de Estudios Humanistas CEHUM-Alétheia.,FALSE,leticia_gf
